timestamp,file,action,source,destination,reason
2025-12-24T17:27:04.090016,deduplicate_and_index.py,HIERARCHY_HEAL,agentic_core/L0_maintenance/P1_core,L0_maintenance/scripts,Bulk Alignment
2025-12-24T17:27:04.093702,reasoning_memory.py,HIERARCHY_HEAL,agentic_core/L1_cognition,L1_cognition/thought_engine,Bulk Alignment
2025-12-24T17:27:04.095165,semantic_gatekeeper.py,HIERARCHY_HEAL,agentic_core/L1_cognition/boundaries,L1_cognition/thought_engine,Bulk Alignment
2025-12-24T17:27:04.096174,agent_registry.py,HIERARCHY_HEAL,agentic_core/L1_cognition/discovery,L1_cognition/thought_engine,Bulk Alignment
2025-12-24T17:27:04.097916,agent_registry_enums.py,HIERARCHY_HEAL,agentic_core/L1_cognition/discovery,L1_cognition/thought_engine,Bulk Alignment
2025-12-24T17:27:04.097916,spiffe_manager.py,HIERARCHY_HEAL,agentic_core/L1_cognition/identity,L1_cognition/thought_engine,Bulk Alignment
2025-12-24T17:27:04.100425,spiffe_manager_impl.py,HIERARCHY_HEAL,agentic_core/L1_cognition/identity,L1_cognition/thought_engine,Bulk Alignment
2025-12-24T17:27:04.102509,spiffe_manager_types.py,HIERARCHY_HEAL,agentic_core/L1_cognition/identity,L1_cognition/thought_engine,Bulk Alignment
2025-12-24T17:27:04.104504,inference_engine.py,HIERARCHY_HEAL,agentic_core/L1_cognition/inference,L1_cognition/thought_engine,Bulk Alignment
2025-12-24T17:27:04.105535,signal_anchoring.py,HIERARCHY_HEAL,agentic_core/L1_cognition/inference,L1_cognition/thought_engine,Bulk Alignment
2025-12-24T17:27:04.107050,action_registry.py,HIERARCHY_HEAL,agentic_core/L1_cognition/P1_core,L1_cognition/thought_engine,Bulk Alignment
2025-12-24T17:27:04.108564,adjust_section_weights.py,HIERARCHY_HEAL,agentic_core/L1_cognition/P1_core,L1_cognition/thought_engine,Bulk Alignment
2025-12-24T17:27:04.109572,adjust_tone_weights.py,HIERARCHY_HEAL,agentic_core/L1_cognition/P1_core,L1_cognition/thought_engine,Bulk Alignment
2025-12-24T17:27:04.112188,agentic_constants.py,HIERARCHY_HEAL,agentic_core/L1_cognition/P1_core,L1_cognition/thought_engine,Bulk Alignment
2025-12-24T17:27:04.113306,agent_capabilities.py,HIERARCHY_HEAL,agentic_core/L1_cognition/P1_core,L1_cognition/thought_engine,Bulk Alignment
2025-12-24T17:27:04.114682,agent_logic.py,HIERARCHY_HEAL,agentic_core/L1_cognition/P1_core,L1_cognition/thought_engine,Bulk Alignment
2025-12-24T17:27:04.115193,aggregate_campaign_state.py,HIERARCHY_HEAL,agentic_core/L1_cognition/P1_core,L1_cognition/thought_engine,Bulk Alignment
